"no lo tiro, te lo regalo (sin condiciones)";"no lo tiro, te lo regalo (sin condiciones)"

#main layout
"About";"Quant a"
"Contact";"Contacte"
"Legal";"Avís legal"
"Terms";"Temes d'ús"
"Privacy";"Política de privacitat"
"second hand and news";"segona mà i nous"
"developers";"desenvolupadors"
"contact";"contacta"
"terms of use";"termes d'ús"
"facebook group";"grup de facebook"



#search
"search";"cercar"
"No results for:";"No hi ha resultats per:"
"Hey! Write something";"Ep! Escriu alguna cosa"
"Previous";"Anterior"
"Next";"Següent"
"of about";"d'aprox."
"results for";"resultats per"


"Close";"Tancar"
"Share this ad:";"Comparteix aquest enllaç:"
"Your comments";"Els teus comentaris"
"Post comment";"Enviar comentari"
"Add a comment";"Afegir un comentari"
"from";"desde"
"Comment published succesfully!";"Comentari publicat amb èxit!"


#user profile
"User profile";"Perfil d'usuari"
"Choose your password:";"Tria la teva contrasenya"
"Insert your password (yep, again):";"Torna a escriure la contrasenya (sí, un altre cop):"
"Please, fill this form to be a nolotiro.org registered member:";"Si us plau, omple aquest formulari per ser usuari registrat de nolotiro.org:"
"Nickname:";"Àlies:"
"Edit your profile";"Modifica el teu perfil"
"Your profile was edited succesfully!";"S'ha modificat el teu perfil!"
"hello,";"hola,"
"logout";"sortir"
"login";"iniciar sessió"
"Login";"Iniciar sessió"
"new user";"nou usuari"
"New user";"Nou usuari"
"or";"o"
"Register";"Registrar-se"
"(If you are a new user, please";"(Si ets un nou usuari, si us plau"
"register here";"registra't aquí"
"Choose a nickname:";"Tria un àlies:"
"Please, fill this form to be a nolotiro registered member.";"Si us plau, omple aquest formulari per ser un usuari de nolotiro.org."
"User login";"Accedir"
"Remember me";"Recorda'm"
"Your location:";"La teva ubicació:"
"Change your password here: (otherwise leave it blank)";"Introdueix una nova contrasenya: (si no la vols canviar, deixa aquest camp en blanc)"
"Save profile";"Desar canvis"
"You are not allowed to view this page";"No tens permisos per accedir a aquesta pàgina"
"This username is taken. Please choose another one.";"Aquest nom d'usuari ja existeix. Si us plau, tria'n un altre"
"This email is taken. Please use another one.";"Aquest email ja existeix a la nostra base de dades. Si us plau, utilitza'n un altre."
"Forgot";"Has oblidat"
"your password?";"la teva contrasenya?"
"Password:";"Contrasenya:"
"'%password%' is less than 5 characters long";"%password% té menys de 5 caràcters"
"The passwords entered do not match.";"Les contrasenyes no coincideixen."
"Are you sure you want to delete your nolotiro account?";"Estàs segur de voler eliminar el teu compte de nolotiro?"
"Yes";"Sí"
"Your account has been deleted.";"El teu compte ha estat eliminat."
"Nice to hear that";"Ens n'alegrem"
"profile";"perfil"
"edit profile";"editar perfil"
"User name:";"Nom usuari:"
"Member since:";"Membre des de:"
"Location:";"Ubicació:"
"Delete your nolotiro account";"Eliminar el teu compte de nolotiro"
"Forgot your password?";"Has oblidat la teva contrasenya ?"
