
"translate text";"Nolotiro.org is currently available in a few languages, but you can help us to translate it to your own language. Just choose it from the following list and filling the fields with the translated texts. You don't need to fill all the fields to submit the form, any help will be very appreciated.<br/><br/>If your language is not in the list, please contact us for adding it.<br/><br/>"
"BetaTranslation";"This language translation is in testing phase. If you find a missing or wrong translation, please report it <a href='%s'>here</a>."


#home
"last gifts published";"last gifts published"
"world's most recycling cities";"world's most recycling citiesn"
"most active users";"most active users"
"view more ads";"view more ads"


"Help us to translate nolotiro.org to your language";"Hilf uns, nolotiro.org in deine Sprache zu übersetzen"
"help to translate";"Hilf bei der Übersetzung"
"Location changed successfully to:";"Ort erfolgreich geändert"
"Town";"Ort"
"Choose your location";"Wähle deinen Standort"
"Choose your";"Wähle"

"No location found named:";"Kein Standort gefunden"
"This location is not a valid town. Please, try again.";"Das ist keine gültige Angabe einer Stadt. Bitte versuch es noch einmal."
"change location";"Stadt ändern"
"Change your location";"Ändere deine Stadt"
"Please, write your location";"Bitte schreib den Namen deiner Stadt"
"Location:";"Stadt"
"give";"zu verschenken"
"want";"Ich suche"
"Create new ad";"Anzeige veröffentlichen"
"View ads in";"Anzeigen in ... sehen"
"Posted on ";"Veröffentlicht am"
"by user ";"von"
"page";"Seite"
"second hand";"Zweite Hand"
"new user";"Neuer User"
"or";"oder"
"hello,";"Hallo,"
"logout";"abmelden"
"login";"einloggen"
"To start to publish ads or send private messages access to your account";"Um eine Anzeige aufzugeben oder eine Nachricht zu senden, musst du eingeloggt sein"
"second hand and news";"Zweite Hand oder neu"
"about";"über"
"faqs";"FAQ"
"developers";"Entwickler"
"contact";"Kontakt"


"All the ads";"Alle Anzeigen"
"all the ads";"alle Anzeigen"
"donate";"spenden"
"facebook group";"Gruppe bei Facebook"
"nolotiro.org is a website where you can give away things you no longer want or no longer need to pick them up other people who may serve or be of much use.";"Auf der Web nolotiro.org könnt ihr Sachen, die ihr nicht mehr braucht verschenken oder selbst Dinge suchen, die andere nicht mehr brauchen: Möbel, Fahrräder, Computer, Laptops, Küchen, Lampen, Kleidung, Spielzeug, Kinderwagen, Handys und vieles mehr. All dass, was du nicht mehr benutzt, was aber andere gut gebrauchen könnten."
"'%value%' is not a valid email address in the basic format local-part@hostname";"'%value%' ist keine neue gültige E-Mail-Adresse im Format: usuario@example.com"




"Message sent successfully!";"Deine Nachricht wurde erfolgreich abgeschickt"
"Value is required and can't be empty";"Dieses Feld darf nicht leer sein"

"Please, write your message";"Bitte schreib deine Nachricht!"
"Your email:";"Deine E-Mail:"
"Your message:";"Deine Nachricht:"

"Send";"Abschicken"
"Contact form";"Kontaktformular"
"Login";"Einloggen"
"(If you are a new user, please";"(Wenn du ein neuer User bist, bitte"
"register here";"hier anmelden"

"Please, insert your email and password";"Bitte E-Mail-Adresse und Passwort eingeben"
"User name:";"Username"
"Password:";"Passwort"
"Forgot your password?";"Passwort vergessen?"

"You are now logged in, ";"Jetzt bist du eingeloggt, "
"Wrong email or password, please try again";"E-Mail-Adresse oder Passwort falsch. Bitte versuch es noch einmal."
"New user";"Neuer User"
"Please, fill this form to be a nolotiro member";"Bitte füll dieses Formular aus, um Mitglied von nolotiro zu werden"
"(If you already are a registered user, please";"(Wenn du schon Mitglied bist, bitte"
"login here";"hier anmelden"
"Choose a username:";"Username"
"Choose your password:";"Passwort"
"Insert your password (yep, again):";"Passwort eingeben (ja, noch einmal):"
"The passwords entered do not match. ";"Die Passwörter stimmen nicht überein"
"Choose a password (5 or more characters):";"Bitte wähle ein Password (mindestens 5 Zeichen)"
"Register";"registrieren"
"'%value%' is no valid email address in the basic format local-part@hostname";"... ist keine gültige E-Mail-Adresse"
"'%value%' has not only alphabetic and digit characters";"...enthält nicht erlaubte Zeichen (bitte nur Buchstaben und Zahlen eingeben)"


"Forgot your password?";"Passwort vergessen?"


"Hi, this is your new password:";"Hallo, dies ist dein neues Passwort:"



"The nolotiro.org team.";"Das Team von nolotiro.org"


"Change your nickname:";"Username ändern"
"Change your password here: (otherwise leave it blank)";"Passwort ändern: (wenn du es nicht ändern willst, Feld einfach freilassen)"


"Save";"speichern"

"A journey of a thousand miles starts with a single step";"Eine Reise von tausend Meilen beginnt mit dem ersten Schritt."
"Laozi.";"Lao Tse."


"ads";"Anzeigen"


"search";"suchen"
"Search results for";"Ergebnisse für"

"Sorry, no results for search:";"Leider gibt es keine Übereinstimmungen mit deiner Suche."
"Found";"gefunden"
"results in";"Übereinstimmungen in"

"back to home page";"Zurück zur Startseite"
"Frequently asked questions";"FAQ"

"About nolotiro.org";"Über nolotiro.org"



"view more ads";"weitere Anzeigen sehen"
"Translate";"Übersetzen"
"Help us to translate nolotiro.org to your language";"Hilf uns nolotiro.org in deine Sprache zu übersetzen"

"Choose language";"Sprache wählen"
"Your translation has been sent. Thanks for your help!";"Deine Übersetzung wurde gesendet. Danke für deine Hilfe!"
"Please, translate at least one text.";"Bitte übersetze mindestens einen Satz!"
