#location
"Location changed successfully to:";"Ubicación cambiada con éxito a:"
#(VERY IMPORTANT TO PARSE THE XML API QUERY!)
"Town";"Pueblo"
"Choose your location";"Elige tu ubicación"
"Choose your";"Elige tu"
"I can not connect to Yahoo geo service, sorry!";"No puedo conectar al servicio de geolocalización de Yahoo."
"No location found named:";"No se encontró ninguna ubicación llamada"

"change location";"cambiar ciudad"
"Change your location";"Cambia tu ciudad"
"Please, write your location";"Por favor, escribe tu ciudad"
"Location:";"Ciudad:"
"give";"regalo"
"want";"quiero"
"Create new ad";"Crear nuevo anuncio"
"Posted on ";"Publicado el "
"by user ";"por el usuario "


﻿#header
#"no lo tiro, te lo doy (sin condiciones)";"no lo tiro, te lo doy (sin condiciones)"
"new user";"nuevo usuario"
"or";"o"
"hello,";"hola,"
"logout";"salir"
"login";"acceder"

#footer
"about";"acerca de"
"faqs";"preguntas frecuentes"
"developers";"desarrolladores"
"contact";"contacto"
"terms of use";"términos de uso"
"privacy policy";"política de privacidad"
"facebook group";"grupo en facebook"
#footer excerpt
"nolotiro.org is a website where you can give away things you no longer want or no longer need to pick them up other people who may serve or be of much use.";"nolotiro.org es un sitio web donde puedes regalar las cosas que ya no quieres o ya no necesitas para que las recoja otra gente a la que puede servirle o serle de mucha utilidad."

#contact
"'%value%' is not a valid email address in the basic format local-part@hostname";"'%value%' no es una dirección de correo válida con el formato: usuario@ejemplo.com"
"'%hostname%' is not a valid hostname for email address '%value%'";"'%hostname%' no es nombre correcto de dominio para la dirección de correo '%value%'"
"'%value%' appears to be a local network name but local network names are not allowed";"'%value%' parece ser una dirección de red local"
"'%value%' does not match the expected structure for a DNS hostname";"'%value%' no concide con la estructura requerida para un nombre de dominio DNS"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list";"'%value%' parece ser un nombre de dominio pero no coincide con ningun TLD conocido"
"Message sent successfully!";"Tu mensaje se ha enviado correctamente."


"Value is required and can't be empty";"Este campo no puede estar vacío"
"Captcha value is wrong";"Los cuatro carácteres no son correctos"
"Please, write your message";"Por favor, escribe tu mensaje"
"Your email:";"Tu email:"
"Your message:";"Tu mensaje:"
"Please, insert the 4 characters shown:";"Por favor, introduce los cuatro caracteres:"
"Send";"Enviar"
"Contact form";"Formulario de contacto"

#login
"Login";"Acceder"
"(If you are a new user, please";"(Si eres un nuevo usuario, por favor"
"register here";"regístrate aquí"
"Please, insert your email and password";"Por favor, introduce tu email y contraseña"
"User name:";"Nombre de usuario:"
"Password:";"Contraseña:"
"<a href='/en/user/forgot'>Forgot</a> your password?";"¿<a href='/es/user/forgot'>Olvidaste</a> tu contraseña?"
"'%value%' is less than %min% characters long";"Este campo debe contener %min% ó mas caracteres"
"You are now logged in, ";"Ahora estás logeado "
"Wrong email or password, please try again";"Email o contraseña errónea. Por favor, inténtalo de nuevo."

#user/register
"New user";"Nuevo usuario"
"Please, fill this form to be a nolotiro member";"Por favor, rellena este formulario para ser miembro de nolotiro"
"(If you already are a registered user, please";"(Si ya eres un usuario registrado, por favor"
"login here";"accede aquí"
"Choose a username:";"Elige un nombre de usuario:"
"Choose your password:";"Elige tu contraseña:"
"Insert your password (yep, again):";"Introduce tu contraseña (si, otra vez):"
"The passwords entered do not match. ";"Las contraseñas no son iguales"
"Choose a password (5 or more characters):";"Elige una contraseña (5 o mas caracteres):"
"Register";"Regístrate"
"'%value%' is no valid email address in the basic format local-part@hostname";"'%value%' no es una dirección de correo válida"
"'%value%' has not only alphabetic and digit characters";"'%value%' contiene carácteres no válidos (usa solo letras y números)"
"'%hostname%' is no valid hostname for email address '%value%'";"'%hostname%' no es un nombre de dominio válido"
"By sending this form, you are indicating that you have read, understood, and agree to nolotiro's <a href='/en/page/user-agreement'>user agreement</a> and <a href='/en/page/privacy'>privacy policy.</a>";"Enviando este formulario, admites haber leido, comprendido, y estás conforme con las <a href='/es/page/user-agreement'>condiciones de uso</a> y la <a href='/es/page/privacy'>política de privacidad</a> de nolotiro.org."
"Check your inbox email to finish the register process";"Comprueba tu correo para terminar el proceso de registro"
", confirm your email";", confirma tu email"
"Please, click on this url to finish your register process:<br />";"Por favor, haz click en este enlace para terminar tu proceso de registro:<br />"
"/en/user/validate/t/";"/es/user/validate/t/"
"Register finished succesfully. Now you can login.";"Te has registrado con éxito. Ahora puedes acceder."
"This username is taken. Please, try again.";"Ese nombre de usuario ya existe. Por favor, prueba con otro distinto."
"This email is taken. Please, try again.";"Esa dirección de email ya existe. Por favor, prueba con otra diferente."
"After validate this link you will be able to access with your email and this password:";"Una vez validado este enlace, podrás acceder con tu email y esta contraseña:"

#user/validate
"Sorry, register url no valid or expired.";"Lo siento, esta url no es válida o ha caducado."
"Sorry, this validation url does not exists.";"Lo siento, esta url de validación no existe."

#user/forgot
"Forgot your password?";"¿Olvidaste tu contraseña?"
"Please, enter your email address. A new password will be emailed to you";"Por favor, introduce tu email y te enviaremos una contraseña nueva"
"The email address must be the same you used to register.";"La dirección de email debe ser la misma con la que te registraste."
"Check your inbox email to restore your nolotiro.org account";"Comprueba tu correo para recuperar el acceso a tu cuenta de nolotiro.org"
"This email is not in our database. Please, try again.";"Ese email no está en nuestra base de datos. Por favor, intentalo de nuevo."
"Hi, this is your new password:<br />";"Hola, esta es tu nueva contraseña:<br />"
"Restore your nolotiro.org account";"Recuperación de acceso de tu cuenta de nolotiro.org"
