﻿#header
"no lo tiro, te lo regalo (sin condiciones)";"Je ne le jette pas, je te l'offre (inconditionalement)"
"new user";"Nouveaux membre"
"or";"ou"
"hello,";"salut"
"logout";"sortir"
"login";"acceder"

#location

#(VERY IMPORTANT TO PARSE THE XML API QUERY!)
"Town";"Town"
"Choose your location";"Choix de votre location"
"Choose your";"Choisis ton"
"I can not connect to Yahoo geo service, sorry!";"Imposible de connecter sur le reseau Yahoo de géolocalisation"
"No location found named:";"On n'a pas trouver des location nommée:"
"This location is not a valid town. Please, try again.";"Cette location n'est pas valide. S'il vous plait, essayer à nouveau."

"Location changed successfully to:";"Localisation changée avec succés à:"
"change location";"changer de ville"
"Change your location";"Change ta location"
"Please, write your location";"S'il vous plait, changer votre location"
"Location:";"Location:"
"give";"donner cadeau"
"want";"je veux"
"Create new ad";"Creer une nouvelle offre"
"View ads in";"Voir des annonces à"
"Posted on "; "Publié le"
"by user "; "Par le membre"
"page";"page"



"available";"disponible"
"booked";"réservé"
"delivered";"livré"
"all";"tout"



"add";"annonce"





"sent";"envoyé"
"Sent";"Envoyé"


"To start to publish ads or send private messages access to your account";"Pour commencer à publier ou envoyer des méssages privées accedez sur votre compte"
"second hand and news";"seconde main et nouvelles"



"contact";"contact"
"terms of use";"termes d'utilisation"
"privacy policy";"politique de confidéncialité"
"All the ads";"Tout les entrées"
"all the ads";"tout les entrées"
"donate";"donation"
"facebook group";"groupe facebook"
"nolotiro.org is a website where you can give away things you no longer want or no longer need to pick them up other people who may serve or be of much use.";"nolotiro.org est un site dont vous pouvez vous debarraser des objets ou des choses qui vous n'en voulez plus, que vous n'en avez plus besoin, pour les faire chercher par d'autres qui pourrons s'en servir ou à qui cela serait util."
"'%value%' is not a valid email address in the basic format local-part@hostname";"'%value%' n'est pas une adresse de courrier valide dans le format basic local-part@hostname"
"'%hostname%' is not a valid hostname for email address '%value%'";"'%value%' n'est pas a valide hostname "nom d'hôte" pour un courrier éléctrinique"
"'%value%' appears to be a local network name but local network names are not allowed";"'%value%' semble être un nom d'un reseau local mais les noms des reseaux locaux ne sont pas acceptés"
"'%value%' does not match the expected structure for a DNS hostname";"'%value%' ne coincide pas avec le structure prévu pour un hostname DNS"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list";"'%value%' apparâit être a hostname DNS mais cela ne peux être égal TLD en rapport à la liste connue"
"Message sent successfully!";"Message envoyé avec succés"
"Value is required and can't be empty";"La valeur est réquis et le champ ne peux pas être vide"
"Captcha value is wrong";"La précision des notations est erronée"
"Please, write your message";"S'il vous plâit, écrivez votre message"
"Your email:";"Votre courrier éléctronique:"
"Your message:";"Votre message:"
"Please, insert the 4 characters shown:";"S'il vous plâit, insérez les 4 chiffres montrés:"
"Send";"Envoyer"
"Contact form";"Formulaire du contact"
"Login";"Identifiant"
"(If you are a new user, please";"(si vous étés un nouveau utilisateur, s'il vous plâit"
"register here";"inscrivez-vous ici"
"Remember me";"Se souvenir de moi"
"Please, insert your email and password";"S'il vous plâit, inserez votre courrier éléctronique et votre mot de passe"
"User name:";"Nom d'utilisateur"
"Password:";"Mot de passe"
"Forgot your password?";"Mot de passe oublié?"
"'%value%' is less than %min% characters long";"... est moins long de ... chifres"
"You are now logged in, ";"Vous êtes connecté,"
"Wrong email or password, please try again";"Mauvais adresse éléctronique ou mot de passe, essayez à nouveau"
"New user";"Nouveau utilisateur"
"Please, fill this form to be a nolotiro member";"Priez vous de remplir ce formulaire pour devenir membre de nolotiro"
"(If you already are a registered user, please";"(Si vous êtes déjá un utilisateur régistré, veuillez"
"login here";"identifier ici"
"Choose a username:";"Choisir un nom d'utilisateur:"
"Choose your password:";"Choisir votre mot de passe:"
"Insert your password (yep, again):";"Insérez votre mot de passe (oui, encore):"
"The passwords entered do not match. ";"Le mot de passe rentré n'est pas le même."
"Choose a password (5 or more characters):";"Choisir un mot de passe (5 ou plus de chiffres ou caractéres)"
"Register";"S'inscrire"
"'%value%' is no valid email address in the basic format local-part@hostname";"'%value%' ce n'est pas une adresse éléctronique valide dans le format classique local-part@hostname"
"'%value%' has not only alphabetic and digit characters";"'%value%' n'as pas seulement des caractères alphabétiques et numériques"
"'%hostname%' is no valid hostname for email address '%value%'";"'%value%' n'est pas le nom d'hôte valide pour l'adresse du courrier éléctronique"
"By sending this form, you are indicating that you have read, understood, and agree to nolotiro's user agreement and privacy policy.";"En envoyant ce formulaire, vous nous indiqués avoir lu, compris, et agree to nolotiro user agreement and privacy policy."
"Check your inbox email to finish the register process";"Vérifiez votre boîte de réception e-mail pour terminer le processus du registre"
", confirm your email";", confirmez votre courrier éléctronique"
"Please, click on this url to finish your register process:";"Veuillez cliquer sur ce url pour finir votre processus du registre:"



#footer
"about";"à propos de"
"faqs";"questions frequents"
"developers";"developpeurs"

#translation
"Help us to translate nolotiro.org to your language";"Aidez à traduire nolotiro.org en votre langue"
"help to translate";"aide à traduire"
"Choose language";"Choisir la langue"
"Other";"Autre"
"Your translation has been sent. Thanks for your help!";"Votre traduction à été envoyé. Merci pour votre aide!"
"Please, translate at least one text.";"Veuillez traduire au moins un text."
"translate text";"Nolotiro.org is currently available in a few languages, but you can help us to translate it to your own language. Just choose it from the following list and filling the fields with the translated texts. You don't need to fill all the fields to submit the form, any help will be very appreciated.<br/><br/>If your language is not in the list, please contact us for adding it.<br/><br/>"
"BetaTranslation";"Ce traducteur de langue est en train d'être essayé. Si vous remarquez une traduction erronée ou qui manque, veuillez le reporter <a href='%s'>ici</a>."

