"no lo tiro, te lo regalo (sin condiciones)";"non buttare, io regalo (senza condizioni)."

#translate
"Nolotiro.org is currently available in a few languages, but you can help us to translate it to your own language. Just choose it from the following list and fill in the fields with the translated texts. You don't need to fill all the fields to submit the form, any help will be very appreciated.<br/><br/>If your language is not in the list, please contact us for adding it.<br/><br/>;"Per il momento, Nolotiro.org è disponibile in poche lingue, ma tu puoi aiutarci a tradurlo a la tua. Scegliela e completa i campi con i testi tradotti. Non bisogna completare tutti i campi per inviare il formulario. Qualche aiuto è benvenuto.<br/><br/>. Si la tua lingua non c'è sulla lista, contattaci per aggiungerla.<br/></br>"
"Help to translate nolotiro.org to your language";"Aiuta a tradurre nolotiro.org nella tua lingua"
"help to translate";"aiuta a tradurre"
"Location changed successfully to:";"Località cambiata in:"

"Town";"Paese"
"Choose your location";"Scegli una località"
"Choose your";"Scegli te"
"I can not connect to Yahoo geo service, sorry!";"Non riesco a collegarmi al servizio di gelocalizzazione di Yahoo."
"No location found named:";"Non è stata trovata nessuna località con questo nome"
"This location is not a valid town. Please, try again.";"La località inserita non è una città valida. Per favore, prova di nuovo."
"change location";"cambia città"
"Change your location";"Cambia la tua città"
"Please, write your location";"Inserisci la tua città"
"Location:";"Città"
"give";"regalo"
"want";"cerco"
"Create new ad";"Pubblica annuncio"
"View ads in";"Leggi gli annunci in"
"Posted on ";"Pubblicato il"
"by user";"dall'utente"
"page";"pagina"
"second hand";"seconda mano"
"new user";"nuovo utente"
"or";"o"
"hello,";"ciao"
"logout";"esci"
"login";"entra"
"To start to publish ads or send private messages access to your account";"Per pubblicare un annuncio o inviare un messaggio, esegui l'accesso al tuo account"
"second hand and news";"seconda mano e nuovi"
"about";"rispetto a"
"faqs";"domande frequenti"
"developers";"sviluppatori"
"contact";"contatto"
"terms of use";"termini di utilizzo"
"privacy policy";"diritto alla privacy"
"All the ads";"Tutti gli annunci"
"all the ads";"tutti gli annunci"
"donate";"regalare"
"facebook group";"gruppo su Facebook"

"please, select ad type";"per favore, seleziona una tipologia di annuncio"
"i give...";"regalo..."
"i want...";"cerco..."
"Title of your ad:";"Titolo del tuo annuncio:"
"Ad body:";"Testo dell'annuncio:"
"Allowed format files: gif, jpg, png. Max size:1Mb";"Formati previsti: .GIF, .JPG, .PNG. "

"Click to enlarge photo";"Fai click per ingrandire la foto"
"available";"disponibile"
"booked";"riservato"

"all";"tutti"

"add";"aggiungi a"
"to your friends list";"nella tua lista di amici"
"remove";"elimina"
"from your friends list";"dalla tua lista di amici"
"Friends list:";"Lista di amici:"
"received";"ricevuti"
"sent";"inviati"
"Sent";"Inviato il"
"from user";"dall'utente"
"to user";"all'utente"
"Messages received";"Messaggi ricevuti"
"Messages sent";"Messaggi inviati"
"Interested?";"Ti interessa?"
"You have a new message from user";"Hai un nuovo messaggio dell'utente"
"back to messages received";"torna ai messaggi ricevuti"
"messages";"messaggi"
