"no lo tiro, te lo regalo (sin condiciones)";"no lo tiro, te lo regalo (sin condiciones) pt"
"translate text";"Nolotiro.org is currently available in a few languages, but you can help us to translate it to your own language. Just choose it from the following list and filling the fields with the translated texts. You don't need to fill all the fields to submit the form, any help will be very appreciated.<br/><br/>If your language is not in the list, please contact us for adding it.<br/><br/>"
"BetaTranslation";"This language translation is in testing phase. If you find a missing or wrong translation, please report it <a href='%s'>here</a>."

#translate
"Help to translate nolotiro.org to your language";"Ajuda traduzir nolotiro.org ao seu idioma"
"help to translate";"ajuda traduzir"
"Location changed successfully to:";"localização mudada com êxito para:"
"Town";"cidade"
"Choose your location";"escolha sua localização"
"Choose your";"escolha sua (seu)"



"change location";"mudar cidade"
"Change your location";"mudar sua cidade"
"Please, write your location";"por favor, escreve sua cidade"

"give";"presente"


"View ads in";"ver anuncios em"
"Posted on ";"publicado"
"by user";"pelo usuário"

"second hand";"segunda mão"
"new user";"novo usuário"

"hello,";"olá"
"logout";"sair"
"login";"acessar"
"To start to publish ads or send private messages access to your account";"para publicar anuncios ou enviar mensagens acesse a sua conta."

"about";"sobre"
"faqs";"perguntas freqüentes"

"contact";"contato"
"terms of use";"termos de uso"



"donate";"doar"



"nolotiro.org is a website where you can give away things you no longer want or no longer need to pick them up other people who may serve or be of much use.";"nolotiro.org é uma pagina web onde dou e busco presentes gratuitamente: móveis, cadeiras, sofás, bicicletas, computadores notebook, mesas, cozinhas, lámpadas, camas, roupa, brinquedos, berços ou carrinhos para bebês, telefones celular e outras muitas coisas que já não queres e já não necessitas para que as reutilizem outras pessoas às que pode ser útil ou dar um novo uso."
"'%value%' is not a valid email address in the basic format local-part@hostname";"...não é um endereço de correio válido com o formato: usuario@exemplo.com"
